Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Arco-Íris,3503356,arcoirense,ANA MARIA ZONER LEAL SERAFIM,"264,904",1791,"7,27","99,1","0,722","33,33","14876,26005","12391,60573","25729,5"
Arealva,3503406,arealvense,ELSON BANUTH BARRETO,"504,973",8560,"15,53","99,6","0,744","21,05","28042,66791","23704,69254","25252,59"
Areias,3503505,areiense,PAULO HENRIQUE DE SOUZA COUTINHO,"305,227",3886,"12,11","96,8","0,697","21,28","17339,9579","15918,97697","11088,39"
Areiópolis,3503604,areiopolitano,ANTONIO MARCOS DOS SANTOS,"85,907",11129,"123,35","97,3","0,695","22,9","31683,03985","27659,50588","12135,07"
Ariranha,3503703,ariranhense,JOAMIR ROBERTO BARBOZA,"132,624",9668,"64,19","99,6","0,733",25,"46471,2831","39791,84863","76260,53"
Artur Nogueira,3503802,nogueirense,IVAN CLEBER VICENSOTTI,"178,026",54408,"248,15","98,3","0,749","7,36","151691,3716","141937,105","20795,4"
Arujá,3503901,arujaense,JOSE LUIZ MONTEIRO,"96,167",89824,"779,33","98,2","0,784","16,32","285278,2461","247386,9366","61458,72"
Aspásia,3503950,aspasiense,JOSUÉ EDUARDO DE ASSUNÇÃO,"69,373",1822,"26,09","97,1","0,735",-,"15746,94939","13472,52382","18013,72"
Assis,3504008,assisense,JOSÉ APARECIDO FERNANDES,"460,609",104386,"206,7","98,9","0,805","7,69","354752,0284","288566,5878","32100,85"
Atibaia,3504107,atibaiano,SAULO PEDROSO DE SOUZA,"478,521",142761,"264,57","97,3","0,765","11,07","489342,7624","465279,3802","44119,9"
Auriflama,3504206,auriflamense,OTAVIO HENRIQUE ORTUNHO WEDEKIN,"434,498",15189,"32,72","98,8","0,773","5,85","43953,08385","39070,89907","19494,28"
Avaí,3504305,avaiense,ANDRÉ LUIS DA SILVEIRA ANTONIO,"540,689",5403,"9,18","99,4","0,714","14,08","20941,63736","18277,667","49447,56"
Avanhandava,3504404,avanhandavense,CIRO AUGUSTO MOURA VENERONI,"338,37",13649,"33,4","97,2","0,705","6,37","47969,29454","41722,29587","32647,32"
Avaré,3504503,avareense,JOSELYR BENEDITO COSTA SILVESTRE,"1213,055",90655,"68,37","97,9","0,767","11,49","312718,5032","278557,3804","29292,24"
Bady Bassitt,3504602,badiense,LUIZ ANTONIO TOBARDINI,"110,372",17502,"132,32","98,5","0,746","4,65","63869,75059","55030,85403","18921,96"
Balbinos,3504701,balbinense,BENEDITO JACKSON BALANCIERI,"91,635",5735,"40,4","98,9","0,669","55,56","15169,28571","14052,14424","10484,51"
Bálsamo,3504800,balsamense,CARLOS EDUARDO CARMONA LOURENÇO,"149,881",9068,"54,18",99,"0,756","11,76","24569,88605","22761,47872","22823,09"
Bananal,3504909,bananalense,CARLINDO NOGUEIRA RODRIGUES,"616,429",10945,"16,58","97,1","0,733","21,28","34981,6939","31691,34202","18607,15"
Barão de Antonina,3505005,barãoense,MARIA ROSA BUENO DE MEIRA,"153,142",3469,"20,35",100,"0,711","17,54","16391,90513","14126,96188","23385,88"
Barbosa,3505104,barbosano,PAULO CÉSAR BALIEIRO,"205,212",7402,"32,14","98,4","0,699","11,36","23186,35882","20061,11119","12333,85"
Bariri,3505203,baririense,FRANCISCO LEONI NETO,"444,405",35264,"71,14","96,3","0,75","9,98","103011,584","92915,84917","33129,26"
Barra Bonita,3505302,barra-bonitense,JOSÉ LUIS RICI,"150,121",36126,"235,12","99,8","0,788","13,42","115636,2077","103440,0716","38198,66"
Barra do Chapéu,3505351,barrense,JANETE SARTI DO AMARAL,"405,681",5724,"12,93","96,9","0,66","27,78","15358,93517","16455,13088","14427,42"
Barra do Turvo,3505401,barra-turvense,JEFFERSON LUIZ MARTINS,"1007,684",7659,"7,67","95,6","0,641","12,05","35549,80915","32005,27199","10060,79"
Barretos,3505500,barretense,GUILHERME HENRIQUE DE ÁVILA,"1566,161",122098,"71,6","97,8","0,789","14,57","526127,6901","543578,5664","36834,01"
Barrinha,3505609,barrinhense,MITUO TAKAHASI,"146,025",32812,"195,66","97,5","0,725","8,51","81349,19113","72594,76774","14691,77"
Barueri,3505708,barueriense,RUBENS FURLAN,"65,701",274182,"3665,21","97,8","0,786","8,47","2741826,705","2450130,787","177747,83"
Bastos,3505807,bastense,MANOEL IRONIDES ROSA,"170,912",20953,"118,95","98,5","0,751","10,34","59380,25797","50419,74043","49737,57"
Batatais,3505906,batataense,JOSE LUIS ROMAGNOLI,"849,526",62508,"66,48","97,7","0,761","14,75","174113,8563","157203,0153","24063,75"
Bauru,3506003,bauruense,CLODOALDO ARMANDO GAZZETTA,"667,684",376818,"515,12","96,9","0,801","12,98","1302951,882","1172323,485","37051,72"
Bebedouro,3506102,bebedourense,FERNANDO GALVÃO MOURA,"683,192",77496,"109,81","98,5","0,78","9,88","218201,1998","262944,1396","41929,78"
Bento de Abreu,3506201,bento-abreuense,GENIVAL PRATES ALVES,"301,687",2980,"8,87","97,9","0,744","32,26","18357,07305","16170,83182","58041,53"
Bernardino de Campos,3506300,bernardinense,ODILON RODRIGUES MARTINS,"244,158",11148,"44,12","98,3","0,734","20,27","32647,22923","29495,33563","21168,91"
Bertioga,3506359,bertioguense,CAIO ARIAS MATHEUS,"491,546",63249,"97,21","98,1","0,73","16,27","429374,2846","349538,4681","27093,33"
Bilac,3506409,bilaquense,VITOR OSMAR BOTINI,"158,025",8034,"44,63",99,"0,768","26,67","29925,48339","25293,08059","23593,57"
Birigui,3506508,biriguiense,CRISTIANO SALMEIRÃO,"530,031",123638,"204,79",98,"0,78","14,67","363952,1717","350718,0512","26071,64"
Biritiba Mirim,3506607,biritibano,JARBAS EZEQUIEL DE AGUIAR,"317,406",32598,"90,03","97,7","0,712","15,23","68006,67889","64012,43166","22162,33"
Boa Esperança do Sul,3506706,boa-esperancense,FABIO LUIS DE SOUZA,"690,748",14923,"19,75",96,"0,681","17,65","51604,80184","40190,62552","24812,08"
Bocaina,3506805,bocainense,MARCO ANTONIO GIRO,"363,926",12329,"29,84","99,3","0,742",32,"37931,81899","37442,81588","18705,27"
Bofete,3506904,bofetense,DIRCEO ANTONIO LEME DE MELO,"653,541",11730,"14,72","95,1","0,705","8,06","38598,94168","32955,07294","14637,88"
Boituva,3507001,boituvense,FERNANDO LOPES DA SILVA,"248,954",60997,"194,07","98,7","0,78","11,1","198057,0267","190516,1809","46569,95"
Bom Jesus dos Perdões,3507100,perdoense,SERGIO FERREIRA,"108,366",25448,"181,87","97,7","0,713","12,16","82258,02662","67840,87637","35962,34"
Bom Sucesso de Itararé,3507159,bom sucessiense,LUIZ HUMBERTO CAMPOS,"133,578",3954,"26,73","98,3","0,66","14,29","16854,96935","14893,40022","13624,33"
Borá,3507209,boraense,WILSON FERREIRA COSTA,"118,951",837,"6,8","94,6","0,746",-,"12701,99598","9773,39024","88396,67"
Boracéia,3507308,boraceense,MARCOS VINICIO BILANCIERI,"122,11",4823,"34,95","99,3","0,754","18,18","24639,33308","22244,8319","59192,14"
Borborema,3507407,borboremense,VLADIMIR ANTONIO ADABO,"552,256",16046,"26,31","98,3","0,73","13,25","47433,25277","41630,90222","25908,07"
Borebi,3507456,borebiense,ANTONIO CARLOS VACA,"347,989",2653,"6,59","99,5","0,705","55,56","18631,30925","15685,80692","24244,96"
Botucatu,3507506,botucatuense,MARIO EDUARDO PARDINI AFFONSECA,"1482,642",146497,"85,88","97,8","0,8","13,99","401443,7621","348097,9972","30100,24"
Bragança Paulista,3507605,bragantino,JESUS ADIB ABI CHEDID,"512,584",168668,"286,26",97,"0,776","8,54","474355,0672","419569,1864","34553,72"
Braúna,3507704,braunense,FLAVIO ADALBERTO RAMOS GIUSSANI,"195,176",5686,"25,7","98,6","0,737","15,63","20303,16854","17049,80737","17011,09"
